user_id,pred_prob,buy,country,model_version,proxy_segment,group_low_threshold,group_high_threshold
user_000001,0.0750196227780072,0,SG,lgbm_v2,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000002,0.3156215597478434,0,ID,lgbm_v1,nonbuyer_gray_zone,0.2764472328901533,0.5246632750463913
user_000003,0.7654478486157308,1,SG,lgbm_v2,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000004,0.5581056088120782,1,ID,lgbm_v1,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000005,0.2058824170271731,1,MY,lgbm_v1,one_time_buyer_proxy,0.28674225004083453,0.7468601249687571
user_000006,0.0585251795130333,0,MY,lgbm_v1,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000007,0.8349012360697204,1,ID,lgbm_v1,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000008,0.4106079740992728,0,JP,lgbm_v2,nonbuyer_gray_zone,0.2764472328901533,0.5246632750463913
user_000009,0.8206667149368954,1,ID,lgbm_v1,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000010,0.6926862182155468,0,SG,lgbm_v1,potential_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000011,0.0355414576081865,0,SG,lgbm_v2,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000012,0.8397010548820605,1,SG,lgbm_v1,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000013,0.285965114452552,1,MY,lgbm_v1,one_time_buyer_proxy,0.28674225004083453,0.7468601249687571
user_000014,0.4579317099693354,0,MY,lgbm_v2,nonbuyer_gray_zone,0.2764472328901533,0.5246632750463913
user_000015,0.815381790990126,1,MY,lgbm_v1,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000016,0.9464136324540412,1,MY,lgbm_v2,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000017,0.860387403609958,1,SG,lgbm_v2,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000018,0.0410981263678904,0,MY,lgbm_v1,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000019,0.0170487758414069,0,SG,lgbm_v1,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000020,0.8275710751512085,1,ID,lgbm_v2,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000021,0.8552739898292679,1,ID,lgbm_v2,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000022,0.0799760400863263,0,ID,lgbm_v1,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000023,0.0148327009495035,0,MY,lgbm_v2,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000024,0.6658979317876039,1,ID,lgbm_v2,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000025,0.7513819785582092,1,JP,lgbm_v2,potential_repeater_proxy,0.28674225004083453,0.7468601249687571
user_000026,0.6435053426239803,1,SG,lgbm_v2,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000027,0.1786939293667117,0,ID,lgbm_v2,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000028,0.2178213834261645,1,JP,lgbm_v2,one_time_buyer_proxy,0.28674225004083453,0.7468601249687571
user_000029,0.4559602085496736,1,JP,lgbm_v2,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000030,0.2405473291891718,1,MY,lgbm_v2,one_time_buyer_proxy,0.28674225004083453,0.7468601249687571
user_000031,0.343618261069903,1,SG,lgbm_v1,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000032,0.0715030385865948,0,MY,lgbm_v2,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000033,0.5476109324629769,0,SG,lgbm_v2,potential_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000034,0.5093259598742361,0,SG,lgbm_v2,nonbuyer_gray_zone,0.2764472328901533,0.5246632750463913
user_000035,0.6739375164835282,1,JP,lgbm_v1,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000036,0.4310118659812054,1,ID,lgbm_v1,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000037,0.3808979929132237,1,JP,lgbm_v2,buyer_gray_zone,0.28674225004083453,0.7468601249687571
user_000038,0.0461057879188426,1,SG,lgbm_v1,one_time_buyer_proxy,0.28674225004083453,0.7468601249687571
user_000039,0.2529313891132344,1,SG,lgbm_v2,one_time_buyer_proxy,0.28674225004083453,0.7468601249687571
user_000040,0.2688375894862347,0,MY,lgbm_v1,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000041,0.1614902506213523,0,ID,lgbm_v1,non_buyer_proxy,0.2764472328901533,0.5246632750463913
user_000042,0.2851432335578681,1,JP,lgbm_v1,one_time_buyer_proxy,0.28674225004083453,0.7468601249687571
